Category,Nutrient Data Bank Number,Alpha Carotene,Ash,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Pantothenic Acid,Protein,Refuse Percentage,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamin A - IU,Vitamin A - RAE,Vitamin B12,Vitamin B6,Vitamin C,Vitamin E,Vitamin K
APPLESAUCE,9019,0,0.24,13,9,11.27,0,2,1.100000024,42,18,0,0.025,0.084,0.041,0.17,0,0,0.03,0.3,9.390000343,0.026,88.22,0.002,0.014,0.008,0.1,4,0.027,0.23,3,5,74,2,0.03,29,1,0,0.027,1,0.16,0.5
APRICOT NECTAR,9036,0,0.29,786,7,14.39,0,1,0.600000024,56,14,0,0.032,0.26,0.096,0.37,0,0,0.014,0,13.78999996,0.009,84.87,0.038,0.017,0.006,0.09,7,0.073,0.38,5,9,114,3,0.09,1316,66,0,0.022,0.6,0.31,1.2
APRICOTS,9021,19,0.75,1094,104,11.12,0,3,2,48,89,0,0.077,0.6,0.24,1.4,7,0,0.04,0.1,9.239999771,0.03,86.35,0.17,0.077,0.027,0.39,13,0.078,0.39,10,23,259,1,0.2,1926,96,0,0.054,10,0.89,3.3
ARCHWAY HOME STYLE COOKIES,18513,0,1.34,0,0,67.2,0,0,1.899999976,442,0,0,0,1.81,0,5.54,0,0,0.17,0,1.25999999,0.27,5,7.86,1.31,4.9,20.92,20,0,1.96,0,0,87,308,0,1,0,0,0,0,0,0
ARROWHEAD,11005,0,1.67,0,0,20.23,0,0,0,99,0,0,0.36,1.65,0.599,5.33,25,0,0.073,0.7,0,0.17,72.48,0,0,0,0.29,10,0.171,2.57,51,174,922,22,0.28,0,0,0,0.26,1.1,0,0
ARROWROOT,11697,0,1.42,11,0,13.39,0,0,1.299999952,65,0,0,0.174,1.693,0.292,4.24,15,0,0.059,0.7,0,0.143,80.75,0.004,0.092,0.039,0.2,6,0.121,2.22,25,98,454,26,0.63,19,1,0,0.266,1.9,0,0
ARTICHOKES,11007,0,1.13,8,0,10.51,0,34,5.400000095,47,464,0,0.256,1.046,0.338,3.27,60,0,0.066,0.2,0.99000001,0.072,84.94,0.005,0.064,0.036,0.15,44,0.231,1.28,60,90,370,94,0.49,13,1,0,0.116,11.7,0.19,14.8
ARTIFICIAL BLUEBERRY MUFFIN MIX,18566,0,2.75,0,0,77.45,0,0,0,407,0,0,0,0,0,4.7,0,0,0,0,0,0,6.4,3.742,1.679,1.865,8.7,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0
ARUGULA,11959,0,1.4,1424,0,3.65,0,15,1.600000024,25,3555,0,0.321,0.305,0.437,2.58,40,0,0.086,0.3,2.049999952,0.044,91.71,0.049,0.319,0.086,0.66,160,0.076,1.46,47,52,369,27,0.47,2373,119,0,0.073,15,0.43,108.6
ASPARAGUS,11011,9,0.58,449,0,3.88,0,16,2.099999905,20,710,0,0.158,0.978,0.274,2.2,47,0,0.141,2.3,1.879999995,0.143,93.22,0,0.05,0.04,0.12,24,0.189,2.14,14,52,202,2,0.54,756,38,0,0.091,5.6,1.13,41.6
AVOCADOS,9037,24,1.58,62,28,8.53,0,14,6.699999809,160,271,0,0.142,1.738,1.389,2,26,0,0.13,0.4,0.660000026,0.067,73.23,9.799,1.816,2.126,14.66,12,0.19,0.55,29,52,485,7,0.64,146,7,0,0.257,10,2.07,21
BABYFOOD,3002,0,0.57,0,0,2.43,51,38,0,81,0,0,0.037,2.495,0.083,12.03,0,0,0.135,2.9,0,0.013,82.44,0.95,0.16,1.18,2.52,5,0.148,0.98,11,93,187,46,2.22,0,0,1.26,0.039,2.1,0.37,0.6
BACON,16104,0,4.5,53,0,6.32,0,45,2.599999905,310,0,0,0.205,7.56,0.113,10.68,0,0,0.481,7.4,0,4.4,48.98,7.095,15.441,4.622,29.52,23,0.105,2.41,19,70,170,1465,0.42,88,4,0,0.479,0,6.9,0
BACON BITS,43212,0,5.5,0,0,28.6,0,135,10.19999981,476,0,0,0,1.6,0,32,0,0,0.07,7.4,0,0.6,8,6.225,13.548,4.055,25.9,101,0.539,0.72,95,217,145,1770,1.87,0,0,1.2,0.08,1.9,6.9,0
BAGEL,18001,0,1.57,0,0,50.5,0,15,2.200000048,257,52,0,0.515,3.975,0.214,10.02,0,0,0.26,22.8,5.050000191,0.601,36.28,0.521,0.64,0.393,1.62,89,0.13,6.05,22,87,75,448,1.9,0,0,0,0.066,1,0.1,1.1
BAGELS,18002,0,1.76,0,0,57.11,0,16,2.599999905,288,55,0,0.575,4.375,0.229,11.14,0,0,0.27,25.2,5.820000172,0.602,28.27,0.418,0.944,0.283,1.72,99,0.15,4.5,24,92,85,480,1.3,0,0,0,0.07,0,0.12,1
BAKED BNS,43449,0,1.71,64,0,20.49,0,31,5.5,105,16,500,0,0.43,0,4.8,0,0,0.06,4.5,7.78000021,0.15,72.6,0.035,0.172,0.103,0.4,50,0.206,0.29,32,104,296,1,1.4,106,5,0,0.13,3.1,0.15,0.8
BAKING CHOC,19077,0,3.1,0,0,33.9,0,0,18.10000038,472,0,0,1.65,2.1,0.154,12.1,0,0,0.279,7.9,0,0.05,0.9,9.23,10.7,25.29,47.7,54,1.91,4.15,265,340,1166,12,3.68,12,1,0,0.072,0,0,0
BALSAM-PEAR (BITTER GOURD),11022,0,1.47,0,0,3.29,0,0,0,30,0,0,0.536,1.11,0.063,5.3,62,0,0.362,0.9,0,0.181,89.25,0,0,0,0.69,84,0.201,2.04,85,99,608,11,0.3,1734,87,0,0.803,88,0,0
BAMBOO SHOOTS,11026,0,0.9,12,0,5.2,0,0,2.200000048,27,0,0,0.262,0.6,0.161,2.6,71,0,0.07,0.8,3,0.15,91,0.007,0.134,0.069,0.3,13,0.19,0.5,3,59,533,4,1.1,20,1,0,0.24,4,1,0
BANANAS,9040,25,0.82,26,0,22.84,0,10,2.599999905,89,22,0,0.27,0.665,0.334,1.09,36,0,0.073,1,12.22999954,0.031,74.91,0.032,0.073,0.112,0.33,5,0.078,0.26,27,22,358,1,0.15,64,3,0,0.367,8.7,0.1,0.5
BANQUET CHICK POT PIE,22525,0,1.65,0,0,18.02,15,0,1.700000048,192,0,0,0,0,0,5.59,0,0,0,0,2.809999943,0,63.9,4.63,1.89,4.19,10.84,15,0,0.51,0,0,0,425,0,692,0,0,0,0,0,0
