Category,Nutrient Data Bank Number,Alpha Carotene,Ash,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Lutein and Zeaxanthin,Lycopene,Manganese,Niacin,Pantothenic Acid,Protein,Refuse Percentage,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamin A - IU,Vitamin A - RAE,Vitamin B12,Vitamin B6,Vitamin C,Vitamin E,Vitamin K
COTTONSEED FLR,12007,0,6,0,0,40.54,0,0,3,359,0,0,2.143,4.065,0.448,40.96,0,0,0.399,5.6,0,2.102,6.3,1.133,2.958,1.588,6.2,478,1.18,12.66,721,1597,1772,35,11.69,434,22,0,0.769,2.4,0,0
COTTONSEED KRNLS,12160,0,4.58,0,0,21.9,0,0,5.5,506,0,0,2.181,3,0.456,32.59,0,0,0.255,0,0,0.75,4.65,6.919,18.068,9.699,36.29,100,1.2,5.4,440,800,1350,25,6,442,22,0,0.782,9,0,0
COTTONSEED MEAL,12011,0,6.5,0,0,38.43,0,0,0,367,0,0,2.26,4.286,0.472,49.1,0,0,0.42,0,0,2.217,1.2,0.861,2.248,1.207,4.77,504,0.001,13.35,760,1684,1869,37,12.32,458,23,0,0.811,2.5,0,0
COUSCOUS,20028,0,0.62,0,0,77.43,0,0,5,376,0,0,0.78,3.49,1.243,12.76,0,0,0.078,0,0,0.163,8.56,0.089,0.252,0.117,0.64,24,0.247,1.08,44,170,166,10,0.83,0,0,0,0.11,0,0,0
COWPEAS,11197,0,0.9,0,0,9.5,0,0,0,44,0,0,0.308,1.2,0.945,3.3,9,0,0.14,0.9,0,0.15,86,0.027,0.127,0.079,0.3,65,0.1,1,58,65,215,4,0.34,1600,80,0,0.173,33,0,0
COWPEAS (BLACKEYES),11191,0,0.67,0,0,18.83,0,0,5,90,0,0,0.56,1.45,0.151,2.95,49,0,0.145,2.3,3,0.11,77.2,0.032,0.15,0.09,0.35,126,0.13,1.1,51,53,431,4,1.01,817,41,0,0.067,2.5,0,0
CRAB,15136,0,1.8,0,0,0,42,0,0,84,0,0,0.035,1.1,0.35,18.29,0,7,0.043,36.4,0,0.043,79.57,0.08,0.13,0.09,0.6,46,0.922,0.59,49,219,204,836,5.95,24,7,9,0.15,7,0,0
CRABAPPLES,9077,0,0.42,0,0,19.95,0,0,0,76,0,0,0.115,0.1,0,0.4,8,0,0.02,0,0,0.03,78.94,0.012,0.088,0.048,0.3,18,0.067,0.36,7,15,194,1,0,40,2,0,0,8,0,0
CRACKERS,18214,0,3.3,9,0,58.2,13,9,2.400000095,503,7,0,0.629,4.671,0.526,10.1,0,28,0.428,8.6,0.280000001,0.57,3.1,12.105,2.472,9.371,25.3,151,0.21,4.77,36,218,145,995,1.13,109,29,0.46,0.553,0,0.06,0.5
CRANBERRIES,9078,0,0.15,36,0,12.2,0,6,4.599999905,46,91,0,0.36,0.101,0.295,0.39,2,0,0.02,0.1,4.039999962,0.012,87.13,0.018,0.055,0.011,0.13,8,0.061,0.25,6,13,85,2,0.1,60,3,0,0.057,13.3,1.2,5.1
CRANBERRY,35030,0,0.2,0,0,12.2,0,0,0,55,0,0,0,0.4,0,0.4,0,0,0.08,0,0,0.02,86.7,0,0,0,0.5,26,0,0.4,0,21,0,0,0,90,0,0,0,21,0,0
CRANBERRY JUC,43382,0,0.15,27,0,12.2,0,3,0.100000001,46,68,0,0,0.091,0,0.39,0,0,0.018,0.1,12.10000038,0.009,87.13,0.023,0.07,0.01,0.13,8,0.055,0.25,6,13,77,2,0.1,45,2,0,0.052,9.3,1.2,5.1
CRANBERRY JUC COCKTAIL,14242,0,0.2,5,0,13.52,0,1,0,54,13,0,0.048,0.041,0.052,0,0,0,0,0.2,11.86999989,0,86.17,0.019,0.059,0.009,0.1,3,0.01,0.1,1,1,14,2,0.03,8,0,0,0,42.3,0.22,1
CRANBERRY SAU,9081,0,0.1,25,0,38.9,0,4,1,151,63,0,0.06,0.1,0,0.2,0,0,0.021,0.3,37.90000153,0.015,60.65,0.021,0.066,0.013,0.15,4,0.02,0.22,3,6,26,29,0.05,42,2,0,0.014,2,0.83,1.4
CRANBERRY-APPLE JUC DRK,14238,0,0.26,2,0,15.85,0,1,0,63,6,0,0.029,0,0,0,0,0,0,0,14.5,0,83.78,0.014,0.052,0.013,0.11,3,0.01,0.07,1,2,17,2,0.02,3,0,0,0,39.5,0.12,0.5
CRANBERRY-APRICOT JUC DRK,14240,0,0.1,0,0,16.2,0,0,0.100000001,64,0,0,0.125,0.12,0.036,0.2,0,0,0.01,0,0,0.005,83.5,0,0,0,0,9,0.015,0.15,3,5,61,2,0.04,463,23,0,0.02,0,0,0
CRANBERRY-GRAPE JUC DRK,14241,0,0.1,0,0,14,0,0,0.100000001,56,0,0,0.158,0.12,0.053,0.2,0,0,0.018,0,0,0.01,85.6,0.004,0.023,0.033,0.1,8,0.007,0.01,3,4,24,3,0.04,5,0,0,0.028,32,0,0
CRANBERRY-ORANGE RELISH,9082,0,0.2,0,0,46.2,0,0,0,178,0,0,0,0.1,0,0.3,0,0,0.02,0,0,0.03,53.2,0,0,0.012,0.1,11,0.04,0.2,4,8,38,32,0,70,4,0,0,18,0,0
CRAYFISH,15145,0,1.34,0,0,0,114,81,0,77,0,0,0.226,2.208,0.546,15.97,0,16,0.032,31.6,0,0.07,82.24,0.174,0.293,0.159,0.95,27,0.419,0.84,27,256,302,58,1.3,53,16,2,0.108,1.2,2.85,0.1
CREAM,1049,0,0.67,22,0,4.3,37,19,0,130,0,0,0.001,0.078,0.289,2.96,0,95,0.149,1.8,0.159999996,0.035,80.57,3.321,0.427,7.158,11.5,105,0.01,0.07,10,95,130,41,0.51,354,97,0.33,0.039,0.9,0.33,1.3
CREAM PUFFS,18237,0,1.8,164,4,22.8,196,99,0.800000012,362,157,0,0.211,1.567,0.624,9,0,265,0.36,24,0.430000007,0.206,40.5,11.128,7.38,5.599,25.9,36,0.051,2.02,12,119,97,557,0.73,1159,278,0.39,0.075,0,2.81,24.5
CREAM SUB,1067,0,0.38,9,0,11.38,0,0,0,136,0,0,0,0,0,1,0,0,0,1.1,11.38000011,0,77.27,7.551,0.027,1.937,9.97,9,0,0.03,0,64,191,79,0.02,15,1,0,0,0,0.81,2.5
CREAM SUBSTITUTE,1069,0,2.64,20,0,54.88,0,2,0,545,0,0,0.22,0,0,4.79,0,0,0.165,0.6,54.88000107,0,2.21,0.968,0.014,32.525,35.48,22,0.115,1.15,4,422,812,181,0.51,33,2,0,0,0,0.59,8.8
CREAMY DRSNG,42116,0,3.5,0,0,7,0,16,0,160,0,0,0,0.02,0,1.5,0,0,0.01,1.6,5.650000095,0.01,74,3.273,7.994,2.115,14,6,0,0.13,2,7,36,1023,0.04,0,0,0.07,0.03,0.4,2.39,3.5
CRESS,11203,0,1.8,4150,0,5.5,0,20,1.100000024,32,12500,0,0.553,1,0.242,2.6,29,0,0.26,0.9,4.400000095,0.08,89.4,0.239,0.228,0.023,0.7,81,0.17,1.3,38,76,606,14,0.23,6917,346,0,0.247,69,0.7,541.9
CRISPED RICE BAR,19010,0,1.3,0,0,73,0,0,2.200000048,404,0,0,0.999,7.05,0,5.1,0,0,0.6,9.7,0,0.53,7,3.99,3.65,5.24,13.5,21,0.31,6.3,48,134,168,278,0.86,1764,0,0,0.705,0,0,0
CRLS,8431,0,1.48,0,0,19.82,0,0,1.700000048,104,0,0,0.743,2.557,0.121,3.22,0,202,0.217,6.2,8.100000381,0.181,74.19,0.449,0.388,0.22,1.28,240,0.076,4.25,25,88,73,177,0.58,673,202,0.81,0.471,0,3.18,0.6
CRMY DRSG,42157,0,1.2,0,0,20,0,16,0,107,4,0,0,0.04,0,1.4,0,1,0.06,1.6,5.349999905,0.01,74.7,0.64,1.444,0.494,2.7,36,0,0.25,5,77,133,1000,0.18,3,1,0,0.02,0,0.67,2.3
CROAKER,15020,0,1.11,0,0,0,61,65,0,104,0,0,0.025,4.2,0.75,17.78,0,18,0.095,36.5,0,0.075,78.03,1.149,0.464,1.088,3.17,15,0.042,0.37,40,210,345,56,0.42,60,18,2.5,0.3,0,1,0.1
CROISSANTS,18239,0,1.6,38,1,45.8,67,39,2.599999905,406,74,0,0.33,2.188,0.861,8.2,0,202,0.241,22.7,11.26000023,0.388,23.2,5.525,1.094,11.659,21,37,0.08,2.03,16,105,118,744,0.75,744,206,0.16,0.058,0.2,0.84,1.8
CROUTONS,18242,0,2.5,0,0,73.5,0,0,5.099999905,407,0,0,0.5,5.439,0.429,11.9,0,0,0.272,37.5,0,0.623,5.5,3.059,1.273,1.51,6.6,76,0.163,4.08,31,115,124,698,0.89,0,0,0,0.026,0,0,0
CUCUMBER,11205,11,0.38,45,26,3.63,0,6,0.5,15,23,0,0.079,0.098,0.259,0.65,3,0,0.033,0.3,1.669999957,0.027,95.23,0.005,0.032,0.037,0.11,16,0.041,0.28,13,24,147,2,0.2,105,5,0,0.04,2.8,0.03,16.4
CURRANTS,9083,0,0.86,0,0,15.38,0,0,0,63,0,0,0.256,0.3,0.398,1.4,2,0,0.05,0,0,0.05,81.96,0.058,0.179,0.034,0.41,55,0.086,1.54,24,59,322,2,0.27,230,12,0,0.066,181,1,0
CUSK,15022,0,1.25,0,0,0,41,0,0,87,0,0,0.015,2.686,0.279,18.99,0,18,0.133,36.5,0,0.042,76.35,0.09,0.28,0.13,0.69,10,0.018,0.83,31,204,392,31,0.38,60,18,1.04,0.387,0,0,0
CUSTARD-APPLE,9086,0,1,0,0,25.2,0,0,2.400000095,101,0,0,0,0.5,0.135,1.7,42,0,0.1,0,0,0.08,71.5,0,0,0.231,0.6,30,0,0.71,18,21,382,4,0,33,2,0,0.221,19.2,0,0
CUTTLEFISH,15163,0,1.68,0,0,0.82,112,0,0,79,0,0,0.11,1.216,0.5,16.24,0,113,0.91,44.8,0,0.009,80.56,0.081,0.134,0.118,0.7,90,0.587,6.02,30,387,354,372,1.73,375,113,3,0.15,5.3,0,0
DAIRY DRK MIX,14422,0,8.2,1,0,51.4,24,128,9.399999619,329,12,0,0.73,1.25,2.139,25,0,209,1.938,21.5,32.93999863,0.112,12.8,0.496,0.061,1.871,2.6,1412,0.8,7.7,210,893,2240,659,3.6,698,209,2.03,0.11,5.6,0.04,0.8
DANDELION GREENS,11207,363,1.8,5854,121,9.2,0,35,3.5,45,13610,0,0.342,0.806,0.084,2.7,0,0,0.26,0.5,0.709999979,0.19,85.6,0.014,0.306,0.17,0.7,187,0.171,3.1,36,66,397,76,0.41,10161,508,0,0.251,35,3.44,778.4
DANDELION GRNS,11208,244,1.2,3940,82,6.4,0,25,2.900000095,33,9158,0,0.23,0.514,0.057,2,0,0,0.175,0.3,0.5,0.13,89.8,0.012,0.262,0.146,0.6,140,0.115,1.8,24,42,232,44,0.28,6837,342,0,0.16,18,2.44,551.4
DANISH PASTRY,18244,0,1.7,2,1,44.6,21,22,1.299999952,403,52,0,0.362,2.867,0.396,7,0,6,0.263,17,19.78000069,0.3,24.3,12.515,2.933,5.681,22.4,71,0.1,1.96,19,107,125,371,0.72,24,6,0.1,0.038,0.1,0.39,9.4
DATES,9087,0,1.6,6,0,75.03,0,6,8,282,75,0,0.262,1.274,0.589,2.45,10,0,0.066,3,63.34999847,0.052,20.53,0.036,0.019,0.032,0.39,39,0.206,1.02,43,62,656,2,0.29,10,0,0,0.165,0.4,0.05,2.7
DEER (VENISON),35080,0,0.64,0,0,0,18,0,0,111,0,0,0,6.6,0,21.5,0,0,0.36,0,0,0.2,75,0.34,0.35,0.63,2.66,7,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0
DESSERT TOPPING,1070,0,1.17,108,0,52.54,0,0,0,577,0,0,0.225,0,0,4.9,0,0,0,0.6,52.54000092,0,1.47,0.6,0.447,36.723,39.92,17,0.118,0.03,7,74,166,122,0.08,180,9,0,0,0,1.52,9.9
DESSERTS,19094,0,0.62,5,2,22.69,90,0,0,146,65,0,0.01,0.082,0.514,4.53,0,45,0.21,8.7,23.14999962,0.032,68.05,1.266,0.392,1.799,4.03,83,0.028,0.38,9,96,118,53,0.47,161,46,0.36,0.044,0,0.23,0.2
DILL WEED,2017,0,12.56,0,0,55.82,0,0,13.60000038,253,0,0,3.95,2.807,0,19.96,0,0,0.284,0,0,0.418,7.3,0,0,0.234,4.36,1784,0.49,48.78,451,543,3308,208,3.3,5850,293,0,1.71,50,0,0
DOCK,11616,0,1.1,0,0,3.2,0,0,2.900000095,22,0,0,0.349,0.5,0.041,2,30,0,0.1,0.9,0,0.04,93,0,0,0,0.7,44,0.131,2.4,103,63,390,4,0.2,4000,200,0,0.122,48,0,0
DOLPHINFISH,15023,0,2.1,0,0,0,73,0,0,85,0,0,0.015,6.1,0.75,18.5,0,54,0.07,36.5,0,0.02,77.55,0.121,0.165,0.188,0.7,15,0.041,1.13,30,143,416,88,0.46,180,54,0.6,0.4,0,0,0
"DOMINO'S 14"" Cheese Pizza",21277,0,1.87,71,0,34.45,13,0,1.399999976,257,0,314,0.298,3.253,0.45,10.98,0,55,0.215,25.9,3.569999933,0.166,44.3,1.976,1.583,3.547,8.39,134,0.132,2.3,24,187,152,478,1.15,301,61,0.42,0.116,0,0.99,5.4
"DOMINO'S 14"" Pepperoni Pizza",21280,0,2.13,56,0,32.29,22,0,1.5,270,0,139,0.317,3.617,0.55,11.6,0,43,0.223,28.5,3.450000048,0.176,43.45,3.137,1.75,4.255,10.54,122,0.122,2.36,25,185,176,507,1.23,235,47,0.55,0.15,0,0.97,5.2
DOO DADS SNACK MIX,19032,0,3.8,0,0,64.3,1,0,6.800000191,456,0,0,1.765,5.37,0.578,10.3,0,42,0.26,0,0,0.36,3,0,0,3.53,18.5,74,0.321,2.5,60,296,277,1271,2.25,151,43,0.01,0.204,0.1,0,0
Doughnuts,18248,0,2.07,1,0,45.63,9,37,1.600000024,418,13,0,0.29,1.97,0.203,5.87,0,3,0.15,10.3,16.28000069,0.237,22.88,12.732,2.659,7.127,23.55,25,0.073,3,16,261,113,557,0.68,11,3,0.07,0.029,1.3,1.89,10.4
DOVE,43287,0,1.1,0,0,0,116,64,0,219,0,0,0,7.6,0,23.9,0,28,0.35,20.1,0,0.28,62,5.462,2.733,3.739,13,17,0.763,5.91,26,332,256,57,3.83,95,28,0.41,0.57,2.9,0.06,4
DRINK MIX,14131,0,2,0,0,95.3,0,0,0,364,0,0,0,0,0,0,0,0,0,0,89.69999695,0,2.7,0,0,0,0,0,0,0,0,0,201,603,0,0,0,0,0,0,0,0
DRUM,15024,0,1.08,0,0,0,64,0,0,119,0,0,0.7,2.35,0.75,17.54,0,51,0.17,12.6,0,0.07,77.33,2.19,1.154,1.119,4.93,60,0.232,0.9,30,180,275,75,0.66,170,51,2,0.3,1,0,0
DUCK,5139,0,0.68,0,0,0,76,31,0,404,0,0,0.017,3.934,0.951,11.49,28,50,0.21,12.4,0,0.197,48.5,18.69,5.08,13.22,39.34,11,0.236,2.4,15,139,209,63,1.36,168,50,0.25,0.19,2.8,0.7,5.5
DURIAN,9422,6,1.12,23,0,27.09,0,0,3.799999952,147,0,0,0.325,1.074,0.23,1.47,68,0,0.2,0,0,0.374,64.99,0,0,0,5.33,6,0.207,0.43,30,39,436,2,0.28,44,2,0,0.316,19.7,0,0
DUTCH BRAND LOAF,7021,0,3.07,0,0,3.93,60,65,0.300000012,273,0,0,0.039,3.384,0.494,12,0,33,0.134,18.4,0.899999976,0.134,58.1,11.433,3.053,9.043,22.91,7,0.069,0.16,15,119,210,1055,2.53,110,33,0.9,0.236,1.4,0.26,1.2
ECLAIRS,18257,0,1.3,117,3,24.2,127,80,0.600000024,262,112,0,0.128,0.799,0.489,6.4,0,189,0.266,15.6,6.599999905,0.115,52.4,6.484,3.948,4.119,15.7,63,0.058,1.18,15,107,117,337,0.61,828,199,0.34,0.059,0.3,2.01,17.5
EDAMAME,11211,0,1.27,0,0,8.58,0,56,4.800000191,110,0,0,1.01,0.925,0.535,10.25,0,0,0.265,0,2.480000019,0.15,75.17,0,0,0,4.73,60,0.324,2.11,61,161,482,6,1.32,0,0,0,0.135,9.7,0.72,31.4
EEL,15025,0,1.41,0,0,0,126,65,0,184,0,0,0.035,3.5,0.24,18.44,0,1043,0.04,6.5,0,0.15,68.26,7.19,0.947,2.358,11.66,20,0.023,0.5,20,216,272,51,1.62,3477,1043,3,0.067,1.8,4,0
EGG,1123,0,0.86,10,9,0.77,423,251,0,143,331,0,0.038,0.07,1.438,12.58,12,139,0.478,31.7,0.769999981,0.069,75.84,3.81,1.364,3.099,9.94,53,0.102,1.83,12,191,134,140,1.11,487,140,1.29,0.143,0,0.97,0.3
EGG CUSTARDS,19169,0,2.2,0,0,82.8,258,0,0,410,0,0,0.02,0.32,2.238,6.9,0,63,0.412,16.6,0,0.145,1.7,2.4,0.85,2.03,6.4,228,0.046,1.93,45,332,540,281,1.05,217,63,1.17,0.216,0.4,0,0
EGG MIX,1210,0,3.15,0,13,23.97,1110,602,0,549,0,0,0.056,0.267,6.5,35.6,0,116,1.277,118,2.460000038,0.19,2.78,13.745,7.555,10.305,34.5,171,0.149,3.23,11,451,373,576,2.76,398,117,2.9,0.207,0,2.04,0.7
EGG ROLLS,22953,0,2.06,0,0,29.5,14,0,2.099999905,222,0,0,0.332,2.25,0.49,9.94,0,0,0.11,22.8,5.320000172,0.24,51.33,2.35,2.464,1.588,7.17,34,0.092,1.55,20,91,212,525,0.9,0,0,0.15,0.173,0,0.27,22.6
EGG SUBSTITUTE,1142,0,1.3,135,0,3.2,2,2,0,160,0,0,0.006,0.14,1.66,11.29,0,0,0.386,41.3,3.200000048,0.12,73.1,2.435,6.241,1.93,11.11,73,0.022,1.98,15,72,213,199,0.98,225,11,0.34,0.133,0.5,1.59,0.2
EGGNOG-FLAVOR MIX,14245,0,0.69,5,0,14.2,11,0,0,95,2,0,0.007,0.112,0.33,2.93,0,26,0.166,3.4,12.65999985,0.04,79.16,0.767,0.186,1.701,3.02,92,0.022,0.12,10,77,121,55,0.35,94,26,0.39,0.033,0,0.06,0.2
EGGPLANT,11209,0,0.7,16,0,5.7,0,7,3.400000095,24,0,0,0.25,0.649,0.281,1.01,19,0,0.037,0.3,2.349999905,0.039,92.41,0.016,0.076,0.034,0.19,9,0.082,0.24,14,25,230,2,0.16,27,1,0,0.084,2.2,0.3,3.5
EGGS,43285,0,1.1,246,0,7.5,65,193,0,133,0,0,0,0.09,0,13.1,0,0,0.3,22.9,7.5,0.01,72.7,2.339,1.778,1.052,5.6,17,0.03,0.23,10,30,147,162,0.14,410,21,0.17,0.01,0,0.84,1.8
ELDERBERRIES,9088,0,0.64,0,0,18.4,0,0,7,73,0,0,0,0.5,0.14,0.66,0,0,0.06,0.6,0,0.07,79.8,0.08,0.247,0.023,0.5,38,0.061,1.6,5,39,280,6,0.11,600,30,0,0.23,36,0,0
Elk,35172,0,0.78,0,0,0,70,0,0,143,0,0,0.043,7.85,1.03,29.45,0,0,0.497,23.5,0,0.175,67.78,0.952,0.239,1.138,2.8,5,0.204,9.06,26,236,379,56,7.79,0,0,4.25,0.782,0,0.79,0
EMU,5621,0,1,0,0,0,69,0,0,134,0,0,0.027,7.485,2.74,22.77,0,0,0.457,30.5,0,0.27,72.87,1.607,0.557,1.022,4.03,7,0.199,4.02,24,222,320,56,3.48,0,0,6.75,0.642,0,0.24,0
ENDIVE,11213,0,1.41,1300,0,3.35,0,17,3.099999905,17,0,0,0.42,0.4,0.9,1.25,14,0,0.075,0.2,0.25,0.08,93.79,0.004,0.087,0.048,0.2,52,0.099,0.83,15,28,314,22,0.79,2167,108,0,0.02,6.5,0.44,231
ENG DRK,14156,0,0.62,0,0,0.7,0,0,0,5,0,0,0.003,8.5,1.4,0.25,0,0,0.575,0,0,0.025,98.35,0,0,0,0.08,13,0.005,0.02,3,0,3,84,0,0,0,1.75,0.835,0,0,0
ENGLISH,18259,0,2.04,0,0,52.65,0,16,2.799999952,270,47,0,0.63,4.99,0.332,10.32,0,0,0.28,26.3,3.470000029,0.541,32.97,0.478,0.921,0.533,2.02,197,0.16,4.65,28,107,129,477,1.4,0,0,0.05,0.067,1.7,0.36,1.4
ENGLISH MUFFIN,18258,0,1.71,0,0,44.17,0,14,3.5,227,42,0,0.505,4.07,0.363,8.87,0,0,0.25,22.4,3.529999971,0.477,43.56,0.383,0.498,0.733,1.69,163,0.135,4,24,92,109,425,1.05,0,0,0.04,0.054,1.8,0.31,1.2
ENGLISH MUFFINS,18260,0,2.5,0,0,46.3,0,14,2.799999952,235,1,0,0.604,3.583,0.408,9.1,0,0,0.313,25.5,0.810000002,0.43,40.2,0.827,0.559,0.23,1.8,196,0.243,3.02,41,81,156,416,1.39,0,0,0,0.038,0,0,0
ENGY DRK,14154,0,0.28,0,0,10.94,0,0,0,45,0,0,0.003,8.5,1.4,0.25,0,0,0.575,0.2,10.06000042,0.025,88.45,0,0,0,0.08,13,0.005,0.02,3,0,3,84,0,0,0,1.75,0.835,0,0,0
ENSURE FIBER W/ FOS,16152,0,1.83,0,0,16.36,0,38,1.100000024,97,0,0,0,1.948,0,3.43,0,144,0.168,7,4.679999828,0.148,76,1.276,0.722,0.201,2.38,136,0.185,1.75,38,117,144,78,1.48,481,144,0.58,0.195,11.7,2.92,7.8
ENSURE PLUS,43528,0,0.6,0,0,19.88,2,32,0,141,0,0,0.516,1.984,0.992,5.16,0,149,0.171,7.1,19.87999916,0.151,69.84,1.283,3.111,0.673,4.52,79,0.198,1.79,40,79,175,95,1.51,497,149,0.6,0.198,11.9,1.34,7.9
ENTREES,21046,0,2.1,0,0,8.52,137,0,0.400000006,266,0,0,0.47,1.943,0.45,18.75,0,155,0.125,42.1,0,0.092,53.38,7.18,5.13,3.74,17.25,337,0.61,1.86,42,378,270,819,3.54,522,155,7.33,0.249,0.3,0,0
EPAZOTE,11984,0,2.5,38,0,7.44,0,0,3.799999952,32,0,0,3.098,0.639,0.179,0.33,0,0,0.348,0.9,0,0.028,89.21,0,0,0,0.52,275,0.19,1.88,121,86,633,43,1.1,57,3,0,0.152,3.6,0,0
EPPAW,11618,0,1.92,0,0,31.68,0,0,0,150,0,0,1.094,0.3,1.172,4.6,0,0,0.12,0.9,0,0.11,60,0,0,0,1.8,110,0.234,1.15,32,165,340,12,1.15,0,0,0,0.176,13,0,0
FALAFEL,16138,0,2.43,0,0,31.84,0,0,0,333,0,0,0.691,1.044,0.292,13.31,0,0,0.166,1,0,0.146,34.62,10.171,4.16,2.383,17.8,54,0.258,3.42,82,192,585,294,1.5,13,1,0,0.125,1.6,0,0
FAST FD,21300,0,2.27,93,0,31.33,24,17,1.5,272,22,1927,0.315,3.49,0.442,12,0,61,0.265,27.8,3.180000067,0.354,43.41,2.934,2.389,4.679,10.99,186,0.11,2.3,24,216,157,533,1.38,360,69,0.56,0.058,0,0.82,10
FAST FDS,21397,9,1.85,88,1,15.45,37,36,1.200000048,235,52,197,0.171,2.875,0.236,13.03,0,19,0.228,18.7,4.510000229,0.236,56.21,4.754,1.559,5.487,13.46,78,0.064,2.17,18,120,178,465,2.09,218,27,1.54,0.089,0.4,0.08,14.2
FAST FOODS,21003,0,2.4,14,3,19.06,235,98,0.5,305,107,0,0.186,1.6,0.81,11.33,0,60,0.15,20.6,2.190000057,0.09,46.67,8.96,4.98,5.3,20.73,126,0.075,2.49,16,159,167,666,1.09,227,62,0.69,0.09,1.8,1.34,4.3
FAT,4001,0,0,0,0,0,109,80,0,902,0,0,0,0,0,0,0,0,0,0.2,0,0,0,41.8,4,49.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0
FEIJOA,9334,0,0.74,0,0,10.63,0,0,0,49,0,0,0.085,0.289,0.228,1.24,25,0,0.032,0,0,0.008,86.6,0,0,0,0.78,17,0.055,0.08,9,20,155,3,0.04,0,0,0,0.05,20.3,0,0
FENNEL,11957,0,1.05,0,0,7.29,0,0,3.099999905,31,0,0,0.191,0.64,0.232,1.24,28,0,0.032,0.7,0,0.01,90.21,0,0,0,0.2,49,0.066,0.73,17,50,414,52,0.2,134,7,0,0.047,12,0,0
FIDDLEHEAD FERNS,11995,261,0.83,2040,0,5.54,0,0,0,34,0,0,0.51,4.98,0,4.55,0,0,0.21,0,0,0.02,88.68,0,0,0,0.4,32,0.32,1.31,34,101,370,1,0.83,3617,181,0,0,26.6,0,0
FIGS,9089,0,0.66,85,0,19.18,0,5,2.900000095,74,9,0,0.128,0.4,0.3,0.75,1,0,0.05,0.2,16.26000023,0.06,79.11,0.066,0.144,0.06,0.3,35,0.07,0.37,17,14,232,1,0.15,142,7,0,0.113,2,0.11,4.7
FIREWEED,11985,0,2.54,0,0,19.22,0,0,10.60000038,103,0,0,6.704,4.674,1.356,4.71,65,0,0.137,0.9,0,0.033,70.78,0,0,0,2.75,429,0.32,2.4,156,108,494,34,2.66,3598,180,0,0.632,2.2,0,0
FISH,15261,0,0.93,0,0,0,50,42,0,96,0,0,0.037,3.903,0.487,20.08,0,0,0.063,41.8,0,0.041,78.08,0.653,0.476,0.766,1.7,10,0.075,0.56,27,170,302,52,0.33,0,0,1.58,0.162,0,0.4,1.4
FISH OIL,4589,0,0,0,0,0,570,0,0,902,0,0,0,0,0,0,0,30000,0,0,0,0,0,46.711,22.541,22.608,100,0,0,0,0,0,0,0,0,100000,30000,0,0,0,0,0
FISH PORTIONS&STKS,15027,0,1.46,2,1,21.18,32,36,1.399999976,249,43,0,0.212,1.6,0.423,11.04,0,31,0.117,16.5,2.5,0.15,53.08,4.21,5.701,2.758,13.25,26,0.062,1.01,28,182,216,421,0.48,108,31,1.3,0.053,0,1.15,10.7
FISH STICKS,43129,0,5,0,0,9,0,97,6.099999905,290,0,0,0,12,0,23,0,0,0.9,4.4,0.800000012,1.1,45,4.376,9.332,2.849,18,95,0.925,2,23,450,600,490,1.4,0,0,4.2,1.5,0,3.95,0
FLAN,19187,0,0.61,0,0,91.6,0,0,0,348,0,0,0.007,0,0,0,0,0,0,21.3,0,0,7.8,0,0,0,0,24,0.015,0.08,0,1,153,432,0.04,0,0,0,0,0,0,0
FLATFISH (FLOUNDER&SOLE SP),15028,0,1.2,0,0,0,48,65,0,91,0,0,0.017,2.899,0.503,18.84,0,10,0.076,32.7,0,0.089,79.06,0.233,0.329,0.283,1.19,18,0.032,0.36,31,184,361,81,0.45,33,10,1.52,0.208,1.7,0.51,0.1
FLUID REPLCMNT,43075,0,0.18,0,0,2.45,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2.450000048,0,96.44,0,0,0,0,10,0.01,0,1,10,77,101,0.02,0,0,0,0,0,0,0
FORM,25006,0,3,0,0,52.47,4,0,10.5,343,0,0,0,45.249,22.624,22.35,0,0,0,0,22.67000008,0,14,0,0,4.847,8.99,1495,0,17.95,317,566,0,333,13.57,4445,0,13.57,4.525,176.2,30.5,0
FORM BAR,25004,0,3,0,0,47.24,4,0,2.5,396,0,0,0,36.364,18.182,24.29,0,0,3.091,0,32.86000061,2.727,12.9,0,0,4.728,13.12,965,0,0,255,455,0,462,9.55,3637,0,10.91,3.636,144.4,24.55,0
FORMULATED,12140,0,2.3,0,0,23.68,0,0,5.199999809,622,0,0,7.919,1.5,0.31,13.82,0,0,0.3,0,0,0.3,2.5,23.545,22.714,8.701,57.7,26,0.18,2.4,58,371,318,505,2.94,1,0,0,0.394,0.1,0,0
